,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,TEAM_PTS,this
,,PTS,PTS,PTS,PTS,PTS,PTS,AST,AST,AST,AST,AST,AST,OREB,OREB,OREB,OREB,OREB,OREB,FGM,FGM,FGM,FGM,FGM,FGM,FGA,FGA,FGA,FGA,FGA,FGA,FG3M,FG3M,FG3M,FG3M,FG3M,FG3M,FG3A,FG3A,FG3A,FG3A,FG3A,FG3A,FTM,FTM,FTM,FTM,FTM,FTM,FTA,FTA,FTA,FTA,FTA,FTA,STL,STL,STL,STL,STL,STL,DREB,DREB,DREB,DREB,DREB,DREB,BLK,BLK,BLK,BLK,BLK,BLK,TO,TO,TO,TO,TO,TO,,
,,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,,HOME
GAME_ID,TEAM_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21700056.0,1610612750.0,33.49255970989121,28.739682148577064,11.919068056407111,16.43254992528189,14.803392444101773,26.05352431209951,1.8006752532199575,2.4836762350622155,2.6486817903126916,10.172530906126884,1.4803392444101773,9.227289860535244,2.881080405151932,2.1288653443390415,3.531575720416922,0.3912511886971879,2.9606784888203546,0.5427817565020732,13.685131924471676,10.289515830972034,5.738810545677498,4.695014264366255,7.401696222050886,8.141726347531097,21.96823808928348,21.998275224836764,11.919068056407111,12.911289227007199,17.764070932922127,19.540143234074634,0.720270101287983,2.838487125785389,0.4414469650521152,0.7825023773943758,0.0,4.342254052016585,3.601350506439915,7.805839595909819,1.765787860208461,2.738758320880315,1.4803392444101773,8.68450810403317,5.402025759659873,5.322163360847604,0.0,6.260019019155006,0.0,5.427817565020732,6.1222958609478555,10.289515830972034,0.0,6.6512702078521935,1.4803392444101773,5.970599321522804,2.683348861972581,0.3442093940480459,2.1762127852501134,1.2362283588496208,2.474935548553423,2.5385632437197003,11.88340210302143,5.85155969881678,5.222910684600272,2.884532837315782,5.7748496132913205,3.1732040546496254,1.5333422068414748,0.0,0.0,0.0,0.0,0.6346408109299251,2.683348861972581,0.6884187880960918,0.8704851141000453,4.120761196165403,3.299914064737897,6.981048920229176,101.0,0.0
21700056.0,1610612765.0,19.933448688939173,28.913589100035853,9.140093698050476,21.840034339676635,27.224291034087653,19.039224327897752,3.0666844136829496,1.7210469702402293,2.1762127852501134,3.708685076548863,11.137209968490403,8.884971353018951,7.666711034207374,2.0652563642882753,1.305727671150068,1.2362283588496208,1.6499570323689485,1.9039224327897752,8.050046585917743,11.70311939763356,2.611455342300136,9.065674631563887,9.899742194213692,9.519612163948876,14.56675096499401,23.40623879526712,10.445821369200544,19.779653741593933,24.74935548553423,23.481710004407226,0.0,3.097884546432413,0.8704851141000453,2.0603805980827015,1.6499570323689485,0.0,0.0,7.916816063105055,5.222910684600272,5.356989555015024,7.012317387568031,3.1732040546496254,3.833355517103687,2.4094657583363213,3.0466978993501583,1.6483044784661611,5.7748496132913205,0.0,4.6000266205244245,3.097884546432413,3.481940456400181,2.0603805980827015,6.187338871383558,1.2692816218598502,1.0804051519319746,1.0644326721695208,1.765787860208461,2.3475071321831273,0.7401696222050886,1.6283452695062193,12.244591721895711,5.322163360847604,7.063151440833844,4.303763075669067,1.4803392444101773,1.0855635130041463,2.1608103038639492,0.0,0.4414469650521152,0.3912511886971879,0.7401696222050886,0.5427817565020732,3.601350506439915,1.774054453615868,3.531575720416922,3.912511886971879,0.0,3.2566905390124385,122.0,1.0
21700057.0,1610612755.0,34.052104208416836,16.452869384575433,26.89884438815894,23.55828220858896,21.81194627036296,10.198855897575593,3.4629258517034067,4.4871461957933,2.279563083742283,9.7004691447131,2.4692769362675047,8.629801144102425,1.7314629258517034,0.0,2.7354757004907393,3.118007939372068,0.0,0.784527376736584,12.697394789579159,5.982861594391067,9.118252334969132,9.007578491519308,7.819376964847098,3.92263688368292,26.549098196392787,16.07894053492599,17.780592053189807,18.015156983038615,14.815661617605029,10.198855897575593,0.5771543086172345,2.9914307971955334,5.926864017729936,0.0,4.527007716490425,0.784527376736584,6.348697394789579,7.478576992988834,10.4859901852145,0.692890653193793,8.642469276936268,2.353582130209752,8.080160320641284,1.4957153985977667,2.7354757004907393,5.543125225550344,1.6461846241783367,1.569054753473168,8.657314629258517,1.4957153985977667,3.191388317239196,9.007578491519308,1.6461846241783367,1.569054753473168,2.602566419663835,0.42415316642120765,1.4145383104125737,2.0564084255622994,0.3939269593762823,1.6991150442477878,14.053858666184711,8.907216494845361,5.658153241650295,4.455551588718315,3.545342634386541,5.946902654867257,2.0820531357310683,0.42415316642120765,0.0,0.0,0.7878539187525646,0.42477876106194695,2.0820531357310683,0.0,3.772102161100197,5.826490539093181,3.1514156750102584,2.9734513274336285,104.0,1.0
21700057.0,1610612745.0,31.751310319898792,13.148748159057437,15.088408644400788,35.98714744734024,37.02913418137054,13.592920353982302,1.5615398517983012,1.6966126656848306,0.47151277013752463,11.995715815780079,5.12105047189167,2.1238938053097347,5.20513283932767,3.393225331369661,1.4145383104125737,1.3709389503748661,0.3939269593762823,2.5486725663716814,14.574371950117477,4.241531664212077,5.186640471512771,12.338450553373796,11.423881821912188,4.247787610619469,20.300018073377917,12.72459499263623,10.844793713163066,28.446983220278472,27.574887156339763,10.194690265486726,0.0,2.9690721649484537,0.9430255402750493,5.4837558014994645,3.9392695937628233,3.3982300884955756,0.0,9.755522827687777,4.715127701375246,15.080328454123528,15.757078375051293,8.495575221238939,2.602566419663835,1.6966126656848306,3.772102161100197,5.826490539093181,10.24210094378334,1.6991150442477878,3.1230797035966025,1.6966126656848306,4.715127701375246,8.225633702249198,12.211735740664752,2.5486725663716814,1.7314629258517034,1.121786548948325,2.279563083742283,1.385781306387586,1.6461846241783367,2.353582130209752,19.04609218436874,4.113217346143858,5.015038784233022,11.77914110429448,4.1154615604458415,3.138109506946336,1.7314629258517034,0.0,1.8236504669938263,0.3464453265968965,0.0,0.0,8.080160320641284,2.24357309789665,3.191388317239196,4.1573439191627575,3.2923692483566733,3.92263688368292,105.0,0.0
21700058.0,1610612751.0,17.125129265770425,26.703146374829004,27.811691670977755,21.81818181818182,17.792927141031104,22.36615994712492,0.7445708376421925,3.5020519835841317,2.4831867563372994,6.293706293706294,11.043885811674478,2.3793787177792467,4.467425025853155,2.188782489740082,2.4831867563372994,0.8391608391608392,3.0677460587984657,1.427627230667548,7.4457083764219245,8.317373461012313,8.939472322814277,7.5524475524475525,6.749041329356625,6.186384666226042,12.65770423991727,17.07250341997264,15.892395240558717,19.3006993006993,19.02002556455049,15.703899537343029,0.7445708376421925,3.5020519835841317,0.0,1.2587412587412588,1.8406476352790795,3.8070059484467946,2.2337125129265774,7.879616963064296,0.4966373512674599,6.713286713286713,6.1354921175969315,9.993390614672837,1.489141675284385,6.566347469220247,9.932747025349197,5.454545454545455,2.454196847038773,6.186384666226042,1.489141675284385,8.317373461012313,10.926021727884118,7.5524475524475525,3.681295270558159,6.662260409781891,0.0,0.4297224709042077,1.758510151121966,1.6319129646418857,0.4928131416837782,0.7692307692307692,11.278034887860448,15.04028648164727,4.8359029155854065,8.159564823209429,4.928131416837782,6.9230769230769225,1.0252758988964044,1.2891674127126231,0.4396275377804915,1.3055303717135085,0.0,0.7692307692307692,2.0505517977928087,4.2972247090420765,1.758510151121966,3.9165911151405255,2.464065708418891,1.5384615384615383,112.0,1.0
21700058.0,1610612739.0,11.278034887860448,30.510295434198746,15.826591360097694,35.57570262919311,10.84188911704312,23.076923076923077,1.5379138483446066,3.867502238137869,1.3188826133414746,10.444242973708068,3.9425051334702257,1.5384615384615383,5.126379494482022,3.867502238137869,0.879255075560983,0.6527651858567542,0.9856262833675564,0.0,5.126379494482022,10.313339301700985,5.7151579911463894,14.034451495920216,4.435318275154004,8.461538461538462,8.202207191171235,23.205013428827215,13.628453671195237,22.8467815049864,15.770020533880903,15.384615384615383,0.0,1.7188898836168307,2.637765226682949,2.611060743427017,1.4784394250513346,6.153846153846153,0.0,8.164726947179947,7.034040604487864,5.8748866727107885,9.856262833675563,10.769230769230768,1.0252758988964044,8.164726947179947,1.758510151121966,4.895738893925657,0.4928131416837782,0.0,2.563189747241011,9.453894359892569,1.758510151121966,5.548504079782411,0.4928131416837782,0.0,0.0,2.626538987688099,2.979824107604759,2.937062937062937,1.8406476352790795,1.427627230667548,9.679420889348501,9.192886456908345,7.449560269011898,6.293706293706294,4.908393694077546,6.186384666226042,0.7445708376421925,1.3132694938440495,1.9865494050698396,0.8391608391608392,0.0,1.427627230667548,2.97828335056877,2.188782489740082,1.9865494050698396,4.195804195804196,2.454196847038773,2.3793787177792467,107.0,0.0
21700062.0,1610612756.0,15.190374155266195,19.154596511971622,21.157613535173642,27.123610202746892,30.34592445328032,19.799048122686408,0.0,2.9796039018622524,1.282279608192342,6.404185742315239,8.588469184890657,3.0460074034902167,5.696390308224823,1.7026308010641442,1.282279608192342,1.1301504251144538,0.5725646123260437,3.0460074034902167,5.696390308224823,7.236180904522613,7.6936776491540515,10.54807063440157,11.451292246520875,3.807509254362771,9.019284654689303,17.877623411173516,16.669634906500445,24.863309352517987,21.757455268389663,8.376520359598096,0.0,0.42565770026603605,3.205699020480855,2.2603008502289077,2.862823061630219,0.0,0.0,1.7026308010641442,5.770258236865539,8.287769784172662,7.443339960238569,0.0,3.7975935388165487,4.256577002660361,2.564559216384684,3.7671680837148465,4.58051689860835,12.184029613960867,5.696390308224823,5.959207803724505,3.205699020480855,4.8973185088293,5.153081510934394,14.468535166578528,1.092979127134725,2.9982153480071387,0.8983156581409857,2.170854271356784,1.158953722334004,2.9095807374978953,11.294117647058824,5.568114217727543,5.3898939488459146,6.874371859296483,3.476861167002012,10.183532581242632,2.18595825426945,0.4283164782867341,0.44915782907049284,0.0,0.0,0.0,4.007590132827325,3.4265318262938727,3.14410480349345,5.788944723618091,2.317907444668008,1.4547903687489476,97.0,1.0
