TEAM_NAME,GAME_DATE,pts,ou_open,ou_close,ml,spread_open,spread_close,GAME_ID,TEAM_ID
Memphis Grizzlies,2017-04-12,93,194.0,188.0,-400,-5.5,-8.5,21601223,1610612763
Dallas Mavericks,2017-04-12,100,194.0,188.0,330,5.5,8.5,21601223,1610612742
Denver Nuggets,2017-04-12,111,220.0,224.0,200,3.0,6.0,21601225,1610612743
Oklahoma City Thunder,2017-04-12,105,220.0,224.0,-240,-3.0,-6.0,21601225,1610612760
Indiana Pacers,2017-04-12,104,207.0,200.5,-2500,-7.5,-14.5,21601226,1610612754
Atlanta Hawks,2017-04-12,86,207.0,200.5,1100,7.5,14.5,21601226,1610612737
Utah Jazz,2017-04-12,101,189.5,192.0,-180,-4.0,-4.0,21601227,1610612762
San Antonio Spurs,2017-04-12,97,189.5,192.0,160,4.0,4.0,21601227,1610612759
Portland Trail Blazers,2017-04-12,100,211.0,202.0,-300,-12.5,-7.0,21601230,1610612757
New Orleans Pelicans,2017-04-12,103,211.0,202.0,250,12.5,7.0,21601230,1610612740
Washington Wizards,2017-04-12,102,207.5,205.5,475,8.5,11.5,21601221,1610612764
Miami Heat,2017-04-12,110,207.5,205.5,-650,-8.5,-11.5,21601221,1610612748
Toronto Raptors,2017-04-12,98,206.0,200.5,-165,3.5,4.0,21601218,1610612761
Cleveland Cavaliers,2017-04-12,83,206.0,200.5,145,3.5,4.0,21601218,1610612739
Houston Rockets,2017-04-12,123,227.0,226.5,-360,-7.0,-8.5,21601224,1610612745
Minnesota Timberwolves,2017-04-12,118,227.0,226.5,300,7.0,8.5,21601224,1610612750
Detroit Pistons,2017-04-12,109,209.0,206.0,100,0.0,1.5,21601217,1610612765
Orlando Magic,2017-04-12,113,209.0,206.0,-120,-0.0,-1.5,21601217,1610612753
Los Angeles Clippers,2017-04-12,115,211.5,209.0,-5000,-15.5,-18.0,21601228,1610612746
Sacramento Kings,2017-04-12,95,211.5,209.0,1500,15.5,18.0,21601228,1610612758
Boston Celtics,2017-04-12,112,207.0,205.0,-2000,-12.0,-13.5,21601219,1610612738
Milwaukee Bucks,2017-04-12,94,207.0,205.0,1000,12.0,13.5,21601219,1610612749
New York Knicks,2017-04-12,114,202.0,209.5,-150,-3.0,-3.0,21601220,1610612752
Philadelphia 76ers,2017-04-12,113,202.0,209.5,130,3.0,3.0,21601220,1610612755
Chicago Bulls,2017-04-12,112,214.0,212.5,-3000,-9.0,-15.0,21601222,1610612741
Brooklyn Nets,2017-04-12,73,214.0,212.5,1200,9.0,15.0,21601222,1610612751
Los Angeles Lakers,2017-04-12,94,221.5,222.5,700,16.0,13.5,21601229,1610612747
Golden State Warriors,2017-04-12,109,221.5,222.5,-1100,-16.0,-13.5,21601229,1610612744
Oklahoma City Thunder,2017-04-11,100,217.0,208.5,270,1.0,8.0,21601213,1610612760
Minnesota Timberwolves,2017-04-11,98,217.0,208.5,-330,-1.0,-8.0,21601213,1610612750
Phoenix Suns,2017-04-11,104,218.0,219.5,180,3.5,4.5,21601216,1610612756
Sacramento Kings,2017-04-11,129,218.0,219.5,-210,-3.5,-4.5,21601216,1610612758
Denver Nuggets,2017-04-11,109,213.5,213.5,110,1.0,2.0,21601214,1610612743
Dallas Mavericks,2017-04-11,91,213.5,213.5,-130,-1.0,-2.0,21601214,1610612742
Atlanta Hawks,2017-04-11,103,206.0,203.5,-340,-7.5,-8.0,21601212,1610612737
Charlotte Hornets,2017-04-11,76,206.0,203.5,280,7.5,8.0,21601212,1610612766
Los Angeles Lakers,2017-04-11,108,219.0,219.0,-140,-1.5,-2.5,21601215,1610612747
New Orleans Pelicans,2017-04-11,96,219.0,219.0,120,1.5,2.5,21601215,1610612740
Charlotte Hornets,2017-04-10,79,201.0,197.5,225,4.0,6.5,21601207,1610612766
Milwaukee Bucks,2017-04-10,89,201.0,197.5,-265,-4.0,-6.5,21601207,1610612749
San Antonio Spurs,2017-04-10,98,204.5,192.5,-600,3.5,10.5,21601209,1610612759
Portland Trail Blazers,2017-04-10,99,204.5,192.5,450,3.5,10.5,21601209,1610612757
Cleveland Cavaliers,2017-04-10,121,211.5,204.0,450,2.0,10.5,21601205,1610612739
Miami Heat,2017-04-10,124,211.5,204.0,-600,-2.0,-10.5,21601205,1610612748
Washington Wizards,2017-04-10,105,212.0,208.0,190,2.5,5.5,21601208,1610612764
Detroit Pistons,2017-04-10,101,212.0,208.0,-220,-2.5,-5.5,21601208,1610612765
Houston Rockets,2017-04-10,96,228.5,231.5,350,4.5,9.0,21601210,1610612745
