,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,TEAM_PTS,this
,,PTS,PTS,PTS,PTS,PTS,PTS,AST,AST,AST,AST,AST,AST,OREB,OREB,OREB,OREB,OREB,OREB,FGM,FGM,FGM,FGM,FGM,FGM,FGA,FGA,FGA,FGA,FGA,FGA,FG3M,FG3M,FG3M,FG3M,FG3M,FG3M,FG3A,FG3A,FG3A,FG3A,FG3A,FG3A,FTM,FTM,FTM,FTM,FTM,FTM,FTA,FTA,FTA,FTA,FTA,FTA,STL,STL,STL,STL,STL,STL,DREB,DREB,DREB,DREB,DREB,DREB,BLK,BLK,BLK,BLK,BLK,BLK,TO,TO,TO,TO,TO,TO,,
,,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,,HOME
GAME_ID,TEAM_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21600057.0,1610612751.0,31.334622823984525,17.575457694210787,5.229448662925058,26.266311210888173,30.663010162929503,29.326889886089056,0.6963249516441006,3.8000989609104407,2.8524265434136677,10.910621579907396,0.9291821261493789,1.9882637210907834,4.8742746615087045,2.8500742206828305,1.9016176956091118,0.8081941911042515,2.7875463784481367,0.9941318605453917,11.14119922630561,7.125185551707077,1.9016176956091118,8.890136102146766,11.150185513792547,9.941318605453917,25.067698259187623,14.725383473527957,9.032684054143282,21.01304896871054,22.764962090659782,22.86503279254401,0.6963249516441006,0.0,0.0,2.4245825733127546,3.252137441522826,2.982395581636175,4.8742746615087045,3.325086590796636,1.9016176956091118,7.273747719938264,9.291821261493789,8.947186744908526,8.355899419729207,3.325086590796636,1.4262132717068339,6.0614564332818865,5.110501693821584,6.461857093545047,9.052224371373308,3.8000989609104407,1.9016176956091118,8.081941911042515,5.575092756896273,6.958923023817742,2.713689594831067,1.8376722817764166,1.118881118881119,2.5783348254252463,1.1801666439011063,0.9213051823416506,18.220487279580023,8.085758039816232,7.086247086247086,2.210001278935925,2.7537221691025815,9.673704414587332,1.5506797684748956,0.7350689127105666,0.0,0.0,0.0,1.8426103646833012,2.3260196527123433,4.042879019908116,2.6107226107226107,1.1050006394679626,2.7537221691025815,0.9213051823416506,109.0,1.0
21600057.0,1610612765.0,22.09718670076726,29.77029096477795,24.988344988344988,18.048343777976722,16.91572189591586,13.81957773512476,1.5506797684748956,2.9402756508422665,3.3566433566433567,3.3150019184038877,11.801666439011063,1.381957773512476,5.815049131780858,0.7350689127105666,2.6107226107226107,1.4733341859572835,0.0,2.763915547024952,9.304078610849373,11.393568147013783,10.06993006993007,6.630003836807775,8.261166507307744,5.9884836852207295,20.93417687441109,19.479326186830015,22.75058275058275,13.996674766594193,21.242999590219913,13.358925143953934,0.0,2.572741194486983,2.6107226107226107,2.210001278935925,0.0,0.9213051823416506,0.0,4.777947932618683,8.951048951048952,6.261670290318455,2.7537221691025815,2.763915547024952,3.489029479068515,4.4104134762633995,2.237762237762238,2.5783348254252463,0.3933888813003688,0.9213051823416506,8.528738726611925,4.777947932618683,2.983682983682984,2.5783348254252463,0.3933888813003688,0.9213051823416506,0.6963249516441006,3.8000989609104407,0.9508088478045559,2.82867966886488,0.46459106307468945,1.4911977908180876,3.481624758220503,16.150420583869373,5.229448662925058,6.0614564332818865,5.110501693821584,4.473593372454263,0.6963249516441006,0.9500247402276102,0.9508088478045559,1.2122912866563773,0.46459106307468945,0.0,5.570599613152805,1.4250371103414152,3.8032353912182235,4.445068051073383,2.3229553153734472,2.982395581636175,101.0,0.0
21600060.0,1610612740.0,47.375791930643544,11.825780906291245,13.22183964584358,21.987484355444305,20.529531568228105,14.426716141001856,3.20106702234078,3.8011438627364718,0.9444171175602558,13.336670838548185,4.189700320046552,8.549165120593692,3.20106702234078,0.8446986361636604,1.4166256763403837,1.4418022528160201,0.0,1.6029684601113174,15.685228409469824,3.8011438627364718,4.722085587801279,9.011264080100126,8.379400640093104,6.41187384044527,32.33077692564188,11.403431588209415,12.749631087063452,17.30162703379224,16.75880128018621,13.358070500927644,0.320106702234078,1.6893972723273207,2.8332513526807674,1.4418022528160201,2.094850160023276,0.0,2.240746915638546,5.068191816981963,6.61091982292179,3.9649561952440555,5.865580448065173,1.6029684601113174,15.685228409469824,2.5340959084909813,0.9444171175602558,2.5231539424280354,1.6758801280186209,1.6029684601113174,18.246082027342446,4.223493180818302,1.8888342351205116,3.9649561952440555,2.094850160023276,2.137291280148423,0.5195742377773769,1.1486306833289017,1.3071104387291983,0.0,5.1474530831099194,1.9235264651861745,7.793613566660653,6.126030311087477,8.714069591527988,3.168897854392078,0.0,6.732342628151611,3.1174454266642613,1.1486306833289017,0.0,0.5281496423986797,0.0,0.9617632325930873,2.5978711888868844,1.5315075777718692,2.178517397881997,5.809646066385476,2.5737265415549597,0.0,83.0,0.0
21600060.0,1610612763.0,30.13530579108786,13.400691305503855,19.170953101361572,31.1608289015221,10.294906166219839,14.907330105192852,3.1174454266642613,1.1486306833289017,1.3071104387291983,10.562992847973593,0.0,1.9235264651861745,2.0782969511095075,2.6801382611007707,2.6142208774583966,1.584448927196039,10.294906166219839,0.9617632325930873,9.352336279992784,5.360276522201541,6.535552193645991,10.562992847973593,5.1474530831099194,4.808816162965436,23.900414937759336,13.783568199946822,13.071104387291982,22.182284980744544,18.01608579088472,10.098513942227417,3.1174454266642613,1.5315075777718692,2.6142208774583966,3.6970474967907574,0.0,3.3661713140758054,6.754465091105899,4.21164583887264,6.099848714069592,5.809646066385476,0.0,7.694105860744698,8.31318780443803,1.1486306833289017,3.485627836611195,6.337795708784156,0.0,1.9235264651861745,9.87191051777016,1.5315075777718692,5.228441754916793,7.394094993581515,0.0,2.8852896977792617,3.20106702234078,2.956445226572811,0.4722085587801279,2.5231539424280354,2.094850160023276,0.5343228200371057,13.444481493831276,4.223493180818302,7.083128381701918,5.046307884856071,1.6758801280186209,5.877551020408164,3.8412804268089364,0.0,0.9444171175602558,0.36045056320400504,0.8379400640093104,0.0,1.9206402134044682,1.6893972723273207,1.4166256763403837,3.244055068836045,2.094850160023276,3.205936920222635,89.0,1.0
21600063.0,1610612757.0,18.362416107382547,8.78048780487805,15.296547654175273,45.16605166051661,27.399215126650017,18.380185382160768,7.731543624161073,2.926829268292683,1.274712304514606,5.977859778597786,3.424901890831252,4.813858076280201,1.4496644295302012,0.8362369337979094,2.549424609029212,0.996309963099631,1.712450945415626,0.43762346148001824,7.731543624161073,2.926829268292683,6.37356152257303,15.608856088560886,9.932215483410632,6.126728460720256,12.563758389261745,12.125435540069686,14.446739451165534,30.22140221402214,21.919372101320015,12.691080382920529,0.0,1.2543554006968642,1.274712304514606,3.985239852398524,2.3974313235818765,2.1881173074000912,0.0,8.362369337979095,4.249041015048687,9.6309963099631,4.452372458080628,5.251481537760219,2.8993288590604025,1.6724738675958188,1.274712304514606,9.963099630996311,5.137352836246878,3.9386111533201644,5.798657718120805,3.7630662020905925,1.6996164060194747,11.291512915129152,5.479843025330004,3.9386111533201644,0.44671940437412744,2.3625922887612796,2.9589041095890414,1.7797552836484982,0.0,1.2170728271587548,15.63517915309446,5.400210945740068,4.438356164383562,8.186874304783093,2.9767441860465116,2.4341456543175095,0.0,0.33751318410875425,0.9863013698630138,0.0,0.49612403100775193,0.0,2.6803164262447647,1.6875659205437712,1.9726027397260275,2.847608453837597,3.4728682170542635,4.868291308635019,115.0,0.0
21600063.0,1610612756.0,11.167985109353186,28.688620649244108,11.835616438356166,23.492769744160178,22.82170542635659,21.501619946471333,0.8934388087482549,1.350052736435017,3.945205479452055,7.830923248053392,2.9767441860465116,4.056909423862516,4.467194043741275,2.700105472870034,0.9863013698630138,0.3559510567296996,0.9922480620155039,0.8113818847725032,4.467194043741275,11.475448259697643,3.945205479452055,8.186874304783093,9.426356589147288,6.896746020566277,6.700791065611912,22.61338333528653,9.36986301369863,18.50945494994438,24.310077519379846,20.69023806169883,0.0,1.0125395523262626,1.9726027397260275,1.067853170189099,1.4883720930232558,1.6227637695450063,0.0,3.3751318410875424,4.438356164383562,5.695216907675194,7.441860465116279,6.491055078180025,2.2335970218706374,4.725184577522559,1.9726027397260275,6.051167964404894,2.4806201550387597,6.085364135793774,4.020474639367147,5.7377241298488215,4.438356164383562,9.25472747497219,4.961240310077519,6.491055078180025,1.4496644295302012,2.5087108013937285,0.8498082030097374,0.996309963099631,2.739921512665002,0.8752469229600365,6.281879194630872,13.37979094076655,3.3992328120389494,7.306273062730628,5.137352836246878,3.063364230360128,1.4496644295302012,2.0905923344947737,0.8498082030097374,0.33210332103321033,1.0274705672493756,0.0,2.8993288590604025,2.926829268292683,1.274712304514606,4.649446494464945,4.109882268997502,1.750493845920073,118.0,1.0
21600065.0,1610612758.0,10.76467839900327,33.222179139201245,39.92138202130961,9.88292289059346,14.231941961938809,23.792714983101764,3.1396978663759536,3.3501357115160917,3.8729698975897384,9.01090028259992,1.5140363789296605,2.7037176117161095,3.58822613300109,0.5583559519193486,3.5750491362366814,1.4533710133225677,0.0,0.540743522343222,5.382339199501635,11.72547499030632,11.618909692769215,3.7787646346386756,5.147723688360846,9.192639879834774,12.110263198878679,22.892594028693292,23.833660908244543,10.754945498587,12.717905583009147,21.088997371385656,0.0,1.3958898797983714,1.1916830454122271,1.1626968106580542,1.5140363789296605,2.162974089372888,0.44852826662513623,3.3501357115160917,3.8729698975897384,4.069438837303189,4.2393018610030495,6.488922268118663,0.0,8.375339278790229,15.491879590358954,1.1626968106580542,2.4224582062874567,3.2444611340593315,0.44852826662513623,10.32958511050795,19.960691010654806,1.7440452159870812,2.4224582062874567,4.325948178745776,1.628268551236749,3.557019349526554,0.40500632822387855,1.3557726256325762,1.395856052344602,0.0,14.247349823321555,5.53314121037464,5.2650822669104205,4.067317876897729,4.536532170119957,6.142362036790189,0.40706713780918724,0.7904487443392343,1.6200253128955142,0.0,1.395856052344602,2.303385763796321,2.8494699646643107,3.161794977356937,0.8100126564477571,2.372602094857008,3.1406761177753544,3.8389762729938686,94.0,0.0
