,,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,this,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,other,TEAM_PTS,this
,,PTS,PTS,PTS,PTS,PTS,PTS,AST,AST,AST,AST,AST,AST,OREB,OREB,OREB,OREB,OREB,OREB,STL,STL,STL,STL,STL,STL,DREB,DREB,DREB,DREB,DREB,DREB,BLK,BLK,BLK,BLK,BLK,BLK,,
,,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,C1,F1,F2,G1,G2,S1,,HOME
GAME_ID,TEAM_ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21400057.0,1610612748.0,33.58800428418422,22.43739565943239,19.448508722566125,25.802371541501977,18.143236074270558,24.003846770315757,4.455551588718315,2.4040066777963274,3.2414181204276873,8.727272727272728,5.251989389920424,6.462574130469626,3.4273473759371655,2.4040066777963274,2.4310635903207656,2.2766798418972334,0.47745358090185674,1.3848373136720629,1.3392234364101372,1.5082482325216027,1.281138790035587,1.5050953749673373,2.5503652866947086,1.8084772370486657,5.691699604743083,10.93479968578162,5.124555160142348,4.515286124902012,3.825547930042063,7.233908948194663,2.6784468728202744,0.0,0.0,0.3762738437418343,0.0,0.0,89.0,0.0
21400057.0,1610612766.0,24.775633573587537,9.426551453260016,15.373665480427045,21.82388293702639,11.47664379012619,24.41444270015699,2.34364101371774,9.049489395129616,3.4163701067615655,4.891559968643846,1.2751826433473543,3.6169544740973314,2.6784468728202744,3.0164964650432053,2.1352313167259784,0.7525476874836686,1.2751826433473543,0.4521193092621664,2.0564084255622994,1.6026711185308848,1.6207090602138436,1.8972332015810278,1.4323607427055702,3.231287065234813,10.967511602998929,2.8046744574290488,5.672481710748452,4.173913043478261,2.8647214854111405,5.5393492546882515,0.34273473759371653,0.8013355592654424,0.4051772650534609,1.1383399209486167,0.0,0.0,96.0,0.0
21400058.0,1610612755.0,12.263473053892216,28.907563025210084,17.357762777242044,27.537563640879178,13.945818610129564,21.37291280148423,3.8323353293413174,2.6890756302521006,4.1658630665380905,9.656028809139451,3.0153121319199054,2.3747680890538034,1.9161676646706587,4.033613445378151,4.1658630665380905,1.430522786539178,0.3769140164899882,1.7810760667903525,1.309090909090909,1.336116910229645,0.5216446295960877,0.3698946827639353,1.6623376623376624,0.0,16.363636363636363,8.350730688935283,5.216446295960877,2.9591574621114822,3.74025974025974,3.6848839334673733,1.9636363636363638,0.6680584551148225,1.0432892591921754,0.0,0.4155844155844156,0.0,89.0,0.0
21400058.0,1610612753.0,23.563636363636366,23.716075156576203,11.47618185111393,23.303365014127923,12.883116883116884,21.05647961981356,3.272727272727273,1.336116910229645,2.6082231479804383,1.4795787310557411,12.467532467532468,4.737707914458051,3.272727272727273,1.6701461377870563,0.0,1.1096840482918058,3.324675324675325,0.526411990495339,3.065868263473054,3.361344537815126,1.3886210221793636,4.291568359617534,1.884570082449941,0.5936920222634509,8.047904191616766,4.705882352941177,5.554484088717454,5.364460449521918,3.3922261484098937,2.3747680890538034,3.065868263473054,0.6722689075630252,0.0,0.3576306966347945,1.1307420494699645,2.9684601113172544,91.0,0.0
21400062.0,1610612741.0,24.255468475845127,11.30150425114454,26.024096385542165,28.993288590604028,33.954983922829584,19.810834049871023,2.3581705462627207,5.274035317200785,2.1686746987951806,3.2214765100671143,9.260450160771704,2.476354256233878,2.695052052871681,0.37671680837148463,4.337349397590361,2.5771812080536916,3.0868167202572345,0.412725709372313,1.9306184012066365,2.22680412371134,3.170933113129645,1.7899316345556247,2.3428920073215376,0.6012526096033403,11.10105580693816,7.051546391752577,3.963666391412056,8.233685518955873,3.514338010982306,9.018789144050105,3.861236802413273,0.0,1.5854665565648225,0.3579863269111249,1.1714460036607688,1.803757828810021,95.0,0.0
21400062.0,1610612749.0,12.549019607843137,15.587628865979381,15.061932287365813,29.354878806712243,7.614399023794997,19.84133611691023,2.413273001508296,1.11340206185567,1.5854665565648225,10.381603480422623,3.514338010982306,3.0062630480167014,6.757164404223228,3.34020618556701,2.3781998348472335,1.4319453076444997,0.0,1.2025052192066805,0.3368815066089601,1.1301504251144538,1.0843373493975903,1.2885906040268458,2.057877813504823,2.476354256233878,10.443326704877762,5.65075212557227,3.795180722891566,5.798657718120806,4.115755627009646,2.8890799656061907,4.042578079307521,0.7534336167429693,2.1686746987951806,1.9328859060402686,0.0,0.0,86.0,0.0
21400063.0,1610612764.0,22.486275466634133,23.17190159368714,21.270310192023633,25.620976237855555,19.19758520940762,18.929577464788732,1.7567402708307918,5.792975398421785,5.849335302806499,13.48472433571345,1.8110929442837378,2.704225352112676,2.10808832499695,0.8912269843725823,2.1270310192023634,0.0,1.0866557665702428,2.2535211267605635,0.0,1.4055636896046853,2.744948532215021,1.0485436893203883,0.4148660328435609,0.0,10.74765152490027,6.559297218155198,10.43080442241708,5.941747572815534,2.489196197061365,5.803108808290156,5.929738772358769,0.9370424597364568,0.0,0.0,0.8297320656871218,0.8290155440414507,96.0,0.0
