br_href,date_game,game_start_time,visitor_team_name,visitor_pts,home_team_name,home_pts,overtimes,attendance,playoffs,season_year
/boxscores/201710170CLE.html,2017-10-17,20:01:00,Boston Celtics,99,Cleveland Cavaliers,102,,20562,False,2018
/boxscores/201710170GSW.html,2017-10-17,22:30:00,Houston Rockets,122,Golden State Warriors,121,,19596,False,2018
/boxscores/201710180DET.html,2017-10-18,19:00:00,Charlotte Hornets,90,Detroit Pistons,102,,20491,False,2018
/boxscores/201710180IND.html,2017-10-18,19:00:00,Brooklyn Nets,131,Indiana Pacers,140,,15008,False,2018
/boxscores/201710180ORL.html,2017-10-18,19:00:00,Miami Heat,109,Orlando Magic,116,,18846,False,2018
/boxscores/201710180WAS.html,2017-10-18,19:00:00,Philadelphia 76ers,115,Washington Wizards,120,,20356,False,2018
/boxscores/201710180BOS.html,2017-10-18,19:30:00,Milwaukee Bucks,108,Boston Celtics,100,,18624,False,2018
/boxscores/201710180MEM.html,2017-10-18,20:00:00,New Orleans Pelicans,91,Memphis Grizzlies,103,,17794,False,2018
/boxscores/201710180DAL.html,2017-10-18,20:30:00,Atlanta Hawks,117,Dallas Mavericks,111,,19709,False,2018
/boxscores/201710180UTA.html,2017-10-18,21:00:00,Denver Nuggets,96,Utah Jazz,106,,17588,False,2018
/boxscores/201710180SAS.html,2017-10-18,21:30:00,Minnesota Timberwolves,99,San Antonio Spurs,107,,18418,False,2018
/boxscores/201710180PHO.html,2017-10-18,22:00:00,Portland Trail Blazers,124,Phoenix Suns,76,,18055,False,2018
/boxscores/201710180SAC.html,2017-10-18,22:00:00,Houston Rockets,105,Sacramento Kings,100,,17583,False,2018
/boxscores/201710190TOR.html,2017-10-19,19:30:00,Chicago Bulls,100,Toronto Raptors,117,,19800,False,2018
/boxscores/201710190OKC.html,2017-10-19,20:00:00,New York Knicks,84,Oklahoma City Thunder,105,,18203,False,2018
/boxscores/201710190LAL.html,2017-10-19,22:30:00,Los Angeles Clippers,108,Los Angeles Lakers,92,,18997,False,2018
/boxscores/201710200CHO.html,2017-10-20,19:00:00,Atlanta Hawks,91,Charlotte Hornets,109,,18417,False,2018
/boxscores/201710200IND.html,2017-10-20,19:00:00,Portland Trail Blazers,114,Indiana Pacers,96,,15325,False,2018
/boxscores/201710200MIL.html,2017-10-20,19:00:00,Cleveland Cavaliers,116,Milwaukee Bucks,97,,18717,False,2018
/boxscores/201710200PHI.html,2017-10-20,19:00:00,Boston Celtics,102,Philadelphia 76ers,92,,20816,False,2018
/boxscores/201710200WAS.html,2017-10-20,19:00:00,Detroit Pistons,111,Washington Wizards,115,,16337,False,2018
/boxscores/201710200BRK.html,2017-10-20,19:30:00,Orlando Magic,121,Brooklyn Nets,126,,16144,False,2018
/boxscores/201710200MIN.html,2017-10-20,20:00:00,Utah Jazz,97,Minnesota Timberwolves,100,,18978,False,2018
/boxscores/201710200DAL.html,2017-10-20,20:30:00,Sacramento Kings,93,Dallas Mavericks,88,,19273,False,2018
/boxscores/201710200NOP.html,2017-10-20,21:30:00,Golden State Warriors,128,New Orleans Pelicans,120,,18171,False,2018
/boxscores/201710200PHO.html,2017-10-20,22:00:00,Los Angeles Lakers,132,Phoenix Suns,130,,18055,False,2018
/boxscores/201710210TOR.html,2017-10-21,19:30:00,Philadelphia 76ers,94,Toronto Raptors,128,,19800,False,2018
/boxscores/201710210CHI.html,2017-10-21,20:00:00,San Antonio Spurs,87,Chicago Bulls,77,,21640,False,2018
/boxscores/201710210CLE.html,2017-10-21,20:00:00,Orlando Magic,114,Cleveland Cavaliers,93,,20562,False,2018
/boxscores/201710210HOU.html,2017-10-21,20:00:00,Dallas Mavericks,91,Houston Rockets,107,,18055,False,2018
/boxscores/201710210MEM.html,2017-10-21,20:00:00,Golden State Warriors,101,Memphis Grizzlies,111,,17794,False,2018
/boxscores/201710210MIA.html,2017-10-21,20:00:00,Indiana Pacers,108,Miami Heat,112,,19600,False,2018
/boxscores/201710210NYK.html,2017-10-21,20:00:00,Detroit Pistons,111,New York Knicks,107,,19812,False,2018
/boxscores/201710210MIL.html,2017-10-21,20:30:00,Portland Trail Blazers,110,Milwaukee Bucks,113,,16211,False,2018
/boxscores/201710210DEN.html,2017-10-21,21:00:00,Sacramento Kings,79,Denver Nuggets,96,,19520,False,2018
/boxscores/201710210UTA.html,2017-10-21,21:00:00,Oklahoma City Thunder,87,Utah Jazz,96,,18300,False,2018
/boxscores/201710210LAC.html,2017-10-21,22:30:00,Phoenix Suns,88,Los Angeles Clippers,130,,19068,False,2018
/boxscores/201710220BRK.html,2017-10-22,15:30:00,Atlanta Hawks,104,Brooklyn Nets,116,,13917,False,2018
/boxscores/201710220OKC.html,2017-10-22,19:00:00,Minnesota Timberwolves,115,Oklahoma City Thunder,113,,18203,False,2018
/boxscores/201710220LAL.html,2017-10-22,21:30:00,New Orleans Pelicans,119,Los Angeles Lakers,112,,18997,False,2018
/boxscores/201710230DET.html,2017-10-23,19:00:00,Philadelphia 76ers,97,Detroit Pistons,86,,13709,False,2018
/boxscores/201710230MIA.html,2017-10-23,19:30:00,Atlanta Hawks,93,Miami Heat,104,,19600,False,2018
/boxscores/201710230HOU.html,2017-10-23,20:00:00,Memphis Grizzlies,98,Houston Rockets,90,,17129,False,2018
/boxscores/201710230MIL.html,2017-10-23,20:00:00,Charlotte Hornets,94,Milwaukee Bucks,103,,12887,False,2018
/boxscores/201710230DAL.html,2017-10-23,20:30:00,Golden State Warriors,133,Dallas Mavericks,103,,19875,False,2018
/boxscores/201710230SAS.html,2017-10-23,20:30:00,Toronto Raptors,97,San Antonio Spurs,101,,18418,False,2018
/boxscores/201710230DEN.html,2017-10-23,21:00:00,Washington Wizards,109,Denver Nuggets,104,,14294,False,2018
/boxscores/201710230PHO.html,2017-10-23,22:00:00,Sacramento Kings,115,Phoenix Suns,117,,14903,False,2018
/boxscores/201710240CLE.html,2017-10-24,19:00:00,Chicago Bulls,112,Cleveland Cavaliers,119,,20562,False,2018
/boxscores/201710240ORL.html,2017-10-24,19:00:00,Brooklyn Nets,121,Orlando Magic,125,,16015,False,2018
/boxscores/201710240BOS.html,2017-10-24,19:30:00,New York Knicks,89,Boston Celtics,110,,18624,False,2018
/boxscores/201710240MIN.html,2017-10-24,20:00:00,Indiana Pacers,130,Minnesota Timberwolves,107,,14353,False,2018
/boxscores/201710240POR.html,2017-10-24,22:00:00,New Orleans Pelicans,93,Portland Trail Blazers,103,,19446,False,2018
/boxscores/201710240LAC.html,2017-10-24,22:30:00,Utah Jazz,84,Los Angeles Clippers,102,,16607,False,2018
/boxscores/201710250CHO.html,2017-10-25,19:00:00,Denver Nuggets,93,Charlotte Hornets,110,,14253,False,2018
/boxscores/201710250DET.html,2017-10-25,19:00:00,Minnesota Timberwolves,101,Detroit Pistons,122,,13790,False,2018
/boxscores/201710250PHI.html,2017-10-25,19:00:00,Houston Rockets,105,Philadelphia 76ers,104,,20682,False,2018
/boxscores/201710250BRK.html,2017-10-25,19:30:00,Cleveland Cavaliers,107,Brooklyn Nets,112,,17732,False,2018
/boxscores/201710250MIA.html,2017-10-25,20:00:00,San Antonio Spurs,117,Miami Heat,100,,19600,False,2018
/boxscores/201710250OKC.html,2017-10-25,20:00:00,Indiana Pacers,96,Oklahoma City Thunder,114,,18203,False,2018
/boxscores/201710250DAL.html,2017-10-25,20:30:00,Memphis Grizzlies,94,Dallas Mavericks,103,,19674,False,2018
/boxscores/201710250PHO.html,2017-10-25,22:00:00,Utah Jazz,88,Phoenix Suns,97,,16022,False,2018
/boxscores/201710250GSW.html,2017-10-25,22:30:00,Toronto Raptors,112,Golden State Warriors,117,,19596,False,2018
/boxscores/201710250LAL.html,2017-10-25,22:30:00,Washington Wizards,99,Los Angeles Lakers,102,OT,18996,False,2018
/boxscores/201710260CHI.html,2017-10-26,20:00:00,Atlanta Hawks,86,Chicago Bulls,91,,21104,False,2018
/boxscores/201710260MEM.html,2017-10-26,20:00:00,Dallas Mavericks,91,Memphis Grizzlies,96,,15839,False,2018
/boxscores/201710260MIL.html,2017-10-26,20:00:00,Boston Celtics,96,Milwaukee Bucks,89,,11046,False,2018
/boxscores/201710260POR.html,2017-10-26,22:00:00,Los Angeles Clippers,104,Portland Trail Blazers,103,,18694,False,2018
/boxscores/201710260SAC.html,2017-10-26,22:30:00,New Orleans Pelicans,114,Sacramento Kings,106,,17583,False,2018
/boxscores/201710270CHO.html,2017-10-27,19:00:00,Houston Rockets,109,Charlotte Hornets,93,,17339,False,2018
/boxscores/201710270ORL.html,2017-10-27,19:00:00,San Antonio Spurs,87,Orlando Magic,114,,17337,False,2018
/boxscores/201710270ATL.html,2017-10-27,19:30:00,Denver Nuggets,105,Atlanta Hawks,100,,16220,False,2018
/boxscores/201710270NYK.html,2017-10-27,19:30:00,Brooklyn Nets,86,New York Knicks,107,,19812,False,2018
/boxscores/201710270MIN.html,2017-10-27,20:00:00,Oklahoma City Thunder,116,Minnesota Timberwolves,119,,17620,False,2018
/boxscores/201710270GSW.html,2017-10-27,22:30:00,Washington Wizards,117,Golden State Warriors,120,,19596,False,2018
/boxscores/201710270LAL.html,2017-10-27,22:30:00,Toronto Raptors,101,Los Angeles Lakers,92,,17876,False,2018
/boxscores/201710280NOP.html,2017-10-28,19:00:00,Cleveland Cavaliers,101,New Orleans Pelicans,123,,18539,False,2018
/boxscores/201710280CHI.html,2017-10-28,20:00:00,Oklahoma City Thunder,101,Chicago Bulls,69,,21706,False,2018
/boxscores/201710280MEM.html,2017-10-28,20:00:00,Houston Rockets,89,Memphis Grizzlies,103,,17033,False,2018
/boxscores/201710280MIA.html,2017-10-28,20:00:00,Boston Celtics,96,Miami Heat,90,,19600,False,2018
/boxscores/201710280DAL.html,2017-10-28,20:30:00,Philadelphia 76ers,112,Dallas Mavericks,110,,19567,False,2018
/boxscores/201710280UTA.html,2017-10-28,21:00:00,Los Angeles Lakers,81,Utah Jazz,96,,18306,False,2018
/boxscores/201710280POR.html,2017-10-28,22:00:00,Phoenix Suns,107,Portland Trail Blazers,114,,19343,False,2018
/boxscores/201710280LAC.html,2017-10-28,22:30:00,Detroit Pistons,95,Los Angeles Clippers,87,,17247,False,2018
/boxscores/201710290ATL.html,2017-10-29,15:30:00,Milwaukee Bucks,117,Atlanta Hawks,106,,14014,False,2018
/boxscores/201710290IND.html,2017-10-29,16:30:00,San Antonio Spurs,94,Indiana Pacers,97,,15013,False,2018
/boxscores/201710290BRK.html,2017-10-29,18:00:00,Denver Nuggets,124,Brooklyn Nets,111,,14854,False,2018
/boxscores/201710290CHO.html,2017-10-29,18:00:00,Orlando Magic,113,Charlotte Hornets,120,,15531,False,2018
/boxscores/201710290SAC.html,2017-10-29,18:00:00,Washington Wizards,110,Sacramento Kings,83,,17583,False,2018
/boxscores/201710290CLE.html,2017-10-29,19:00:00,New York Knicks,114,Cleveland Cavaliers,95,,20562,False,2018
/boxscores/201710290GSW.html,2017-10-29,20:30:00,Detroit Pistons,115,Golden State Warriors,107,,19596,False,2018
/boxscores/201710300BOS.html,2017-10-30,19:30:00,San Antonio Spurs,94,Boston Celtics,108,,18624,False,2018
/boxscores/201710300MIA.html,2017-10-30,19:30:00,Minnesota Timberwolves,125,Miami Heat,122,OT,19600,False,2018
/boxscores/201710300NYK.html,2017-10-30,19:30:00,Denver Nuggets,110,New York Knicks,116,,19812,False,2018
/boxscores/201710300HOU.html,2017-10-30,20:00:00,Philadelphia 76ers,115,Houston Rockets,107,,16714,False,2018
