br_href,date_game,game_start_time,visitor_team_name,visitor_pts,home_team_name,home_pts,overtimes,attendance,playoffs,season_year
/boxscores/201810160BOS.html,2018-10-16,20:00:00,Philadelphia 76ers,87,Boston Celtics,105,,18624,False,2019
/boxscores/201810160GSW.html,2018-10-16,22:30:00,Oklahoma City Thunder,100,Golden State Warriors,108,,19596,False,2019
/boxscores/201810170CHO.html,2018-10-17,19:00:00,Milwaukee Bucks,113,Charlotte Hornets,112,,17889,False,2019
/boxscores/201810170DET.html,2018-10-17,19:00:00,Brooklyn Nets,100,Detroit Pistons,103,,20332,False,2019
/boxscores/201810170IND.html,2018-10-17,19:00:00,Memphis Grizzlies,83,Indiana Pacers,111,,17923,False,2019
/boxscores/201810170ORL.html,2018-10-17,19:00:00,Miami Heat,101,Orlando Magic,104,,19191,False,2019
/boxscores/201810170NYK.html,2018-10-17,19:30:00,Atlanta Hawks,107,New York Knicks,126,,18249,False,2019
/boxscores/201810170TOR.html,2018-10-17,19:30:00,Cleveland Cavaliers,104,Toronto Raptors,116,,19915,False,2019
/boxscores/201810170HOU.html,2018-10-17,20:00:00,New Orleans Pelicans,131,Houston Rockets,112,,18055,False,2019
/boxscores/201810170SAS.html,2018-10-17,20:30:00,Minnesota Timberwolves,108,San Antonio Spurs,112,,18354,False,2019
/boxscores/201810170SAC.html,2018-10-17,22:00:00,Utah Jazz,123,Sacramento Kings,117,,17583,False,2019
/boxscores/201810170LAC.html,2018-10-17,22:30:00,Denver Nuggets,107,Los Angeles Clippers,98,,19068,False,2019
/boxscores/201810170PHO.html,2018-10-17,22:30:00,Dallas Mavericks,100,Phoenix Suns,121,,18055,False,2019
/boxscores/201810180PHI.html,2018-10-18,20:00:00,Chicago Bulls,108,Philadelphia 76ers,127,,20302,False,2019
/boxscores/201810180WAS.html,2018-10-18,20:00:00,Miami Heat,113,Washington Wizards,112,,20409,False,2019
/boxscores/201810180POR.html,2018-10-18,22:30:00,Los Angeles Lakers,119,Portland Trail Blazers,128,,19996,False,2019
/boxscores/201810190ORL.html,2018-10-19,19:00:00,Charlotte Hornets,120,Orlando Magic,88,,17668,False,2019
/boxscores/201810190BRK.html,2018-10-19,19:30:00,New York Knicks,105,Brooklyn Nets,107,,17732,False,2019
/boxscores/201810190MEM.html,2018-10-19,20:00:00,Atlanta Hawks,117,Memphis Grizzlies,131,,17019,False,2019
/boxscores/201810190MIN.html,2018-10-19,20:00:00,Cleveland Cavaliers,123,Minnesota Timberwolves,131,,18978,False,2019
/boxscores/201810190NOP.html,2018-10-19,20:00:00,Sacramento Kings,129,New Orleans Pelicans,149,,18337,False,2019
/boxscores/201810190TOR.html,2018-10-19,20:00:00,Boston Celtics,101,Toronto Raptors,113,,19800,False,2019
/boxscores/201810190MIL.html,2018-10-19,20:30:00,Indiana Pacers,101,Milwaukee Bucks,118,,17341,False,2019
/boxscores/201810190LAC.html,2018-10-19,22:30:00,Oklahoma City Thunder,92,Los Angeles Clippers,108,,14816,False,2019
